,word,frequent
623,menopause,4
624,sosial,4
625,sat,4
626,set,4
627,misterius,4
628,djoko,4
629,spb,4
630,beri,4
631,si,4
632,pjn,4
633,posyandu,4
634,tawangmas,4
635,admininformasi,4
636,segera,4
637,sukses,4
638,puskemas,4
639,ayah,4
640,tahan,4
641,rencana,4
642,imbang,4
643,buru,4
644,smp,4
645,live,4
646,ngobrol,4
647,spesialis,4
648,disemarang,4
649,susu,4
650,usaha,4
651,klaim,4
652,rudy,4
653,bulu,4
654,mkes,4
655,hotline,4
656,az,4
657,boleh,4
658,rangka,4
659,berkas,4
660,error,4
661,demak,4
662,ready,4
663,balaikota,4
664,yah,4
665,ku,4
666,publik,4
667,diare,4
668,do,4
669,dagang,4
670,offline,4
671,preklin,4
672,negara,4
673,dikit,4
674,siswa,4
675,awas,4
676,untk,4
677,efek,4
678,jiwa,4
679,berani,4
680,ba,4
681,prokes,4
682,lovemy,4
683,cabut,4
684,april,4
685,swab,4
686,vaksinbaru,4
687,loh,4
688,gelar,4
689,kpcdi,4
690,bijak,4
691,semangat,4
692,posisi,4
693,efektif,4
694,tb,4
695,kemenkumham,4
696,gemar,4
697,kabupaten,4
698,satpol,4
699,wujud,4
700,konter,4
701,finasim,4
702,wanita,4
703,anakfitphonlive,4
704,sunti,4
705,tahu,4
706,sumber,4
707,adminktp,4
708,wna,4
709,chat,4
710,isolasi,4
711,satu,4
712,berat,4
713,iva,4
714,takut,4
715,untuk,4
716,kapal,4
717,ambulance,4
718,muter,4
719,kmrin,4
720,vksin,4
721,genap,4
722,nyata,4
723,ners,4
724,boosteradmin,4
725,klu,4
726,terimakasihvaksin,4
727,informasiadmin,4
728,rumdin,4
729,gayamsari,4
730,campak,4
731,positivity,4
732,tagih,4
733,rekening,4
734,kr,4
735,smsmanfaat,4
736,aktivitas,4
737,sps,4
738,daya,4
739,smstips,4
740,interaktiffitphonelive,4
741,gemuk,3
742,lucu,3
743,kasihmohon,3
744,pangan,3
745,skrining,3
746,odha,3
747,dwi,3
748,bandarharjo,3
749,drh,3
750,agnesia,3
751,mph,3
752,ber,3
753,eh,3
754,alisia,3
755,jelang,3
756,ludhang,3
757,andi,3
758,derita,3
759,lain,3
760,november,3
761,igd,3
762,tidur,3
763,mulut,3
764,budi,3
765,dadak,3
766,spu,3
767,mitos,3
768,area,3
769,farma,3
770,in,3
771,risky,3
772,yudo,3
773,tjandra,3
774,sumbat,3
775,kembang,3
776,covidbaru,3
777,pahlawan,3
778,periode,3
779,smrg,3
780,kelas,3
781,dipake,3
782,gilir,3
783,lilir,3
784,puskesmasmohon,3
785,kelola,3
786,sampah,3
787,selenggara,3
788,komitmen,3
789,produktif,3
790,kumpul,3
791,herpramanto,3
792,maharani,3
793,musim,3
794,hujan,3
795,spm,3
796,stress,3
797,semaranghallo,3
798,vct,3
799,inggrid,3
800,langgan,3
801,setia,3
802,opd,3
803,pb,3
804,masalah,3
805,pintu,3
806,utama,3
807,an,3
808,kis,3
809,menit,3
810,banyak,3
811,mochamad,3
812,cchallo,3
813,msi,3
814,walkot,3
815,himbau,3
816,mplus,3
817,tanggulang,3
818,ana,3
819,anam,3
820,juknis,3
821,ben,3
822,sakti,3
823,buah,3
824,idola,3
825,interaksi,3
826,prov,3
827,agustin,3
828,antibiotik,3
829,semarangkota,3
830,spfitphonelive,3
831,limfoma,3
832,sigit,3
833,on,3
834,site,3
835,subsidi,3
836,kelamin,3
837,langkah,3
838,ajak,3
839,pdpi,3
840,paru,3
841,yukk,3
842,cacar,3
843,monyet,3
844,rokok,3
845,agustusfitphonelive,3
846,agustusbaru,3
847,gera,3
848,generasi,3
849,elisabeth,3
850,prosedur,3
851,kategori,3
852,pribadi,3
853,gedung,3
854,otak,3
855,leher,3
856,hut,3
857,pulih,3
858,foto,3
859,boosterbooster,3
860,jamin,3
861,b,3
862,sehatbaru,3
863,lamar,3
864,jl,3
865,rapat,3
866,pabrik,3
867,kakadmin,3
868,direspon,3
869,lgs,3
870,corona,3
871,virus,3
872,menteri,3
873,rb,3
874,comment,3
875,pilek,3
876,lantai,3
877,mang,3
878,pasti,3
879,ilmiah,3
880,internasional,3
881,mandatory,3
882,promosi,3
883,jual,3
884,rakyat,3
885,bahan,3
886,video,3
887,bebas,3
888,buruk,3
889,bisnis,3
890,nyawa,3
891,bangsa,3
892,sasar,3
893,banding,3
894,naik,3
895,lor,3
896,pintar,3
897,olahraga,3
898,idap,3
899,masker,3
900,pasang,3
901,luka,3
902,zulfachmi,3
903,wahab,3
904,id,3
905,urat,3
906,rahim,3
907,infeksi,3
908,sahyuni,3
909,medsos,3
910,gambar,3
911,wali,3
912,db,3
913,senantiasa,3
914,ktnya,3
915,manual,3
916,ambul,3
917,desy,3
918,wakil,3
919,cabang,3
920,sinopharmadmin,3
921,the,3
922,respon,3
923,bohong,3
924,rekrutmen,3
925,mbak,3
926,kuat,3
927,imunitas,3
928,kendala,3
929,ikanbhp,3
930,minimal,3
931,pilihadmin,3
932,muda,3
933,angkat,3
934,ngomong-ngomong,3
935,kadang,3
936,izin,3
937,lindungadmin,3
938,lsg,3
939,konsul,3
940,mijen,3
941,kemd,3
942,og,3
943,postingan,3
944,gabung,3
945,isoman,3
946,nggeh,3
947,otomatis,3
948,bambang,3
949,feb,3
950,koordinator,3
951,skg,3
952,sehatadmin,3
953,terupdate,3
954,sadanis,3
955,subur,3
956,bidang,3
957,lanjur,3
958,dn,3
959,screenshot,3
960,parkir,3
961,care,3
962,ngalian,3
963,rentan,3
964,spirit,3
965,jawab,3
966,ii,3
967,perang,3
968,salin,3
969,hidung,3
970,daftarin,3
971,mlh,3
972,terimakasihadmin,3
973,heboh,3
974,tekan,3
975,tulis,3
976,konek,3
977,johnson,3
978,kaya,3
979,puskesmasadmin,3
980,adminminkes,3
981,padu,3
982,suwunadmin,3
983,sediavaksin,3
984,vaksinadmin,3
985,pesan,3
986,tensi,3
987,bu,3
988,mordena,3
989,gimn,3
990,remaja,3
991,kasi,3
992,vaksinbooster,3
993,ratenya,3
994,ny,3
995,nyeri,3
996,call,3
997,center,3
998,pirt,3
999,latih,3
1000,patah,3
1001,kaki,3
1002,api,3
1003,ronsen,3
1004,lunas,3
1005,bni,3
1006,sediaadmin,3
1007,toko,3
1008,is,3
1009,harap,3
1010,spmk,3
1011,lari,3
1012,fisik,3
1013,spjp,3
1014,arcturus,3
1015,armada,3
1016,kmi,3
1017,marburg,3
1018,rebriarina,3
1019,for,3
1020,unggas,3
1021,dokterfitphonelive,3
1022,kraken,3
1023,screening,3
1024,desembermohon,2
1025,fitlisteners,2
1026,talkshow,2
